step,complexity,noise,solved,failed,time,overload,crisis_mode,avg_crisis,I,C,Ccrit
85,0.8564395837844683,0.005377475809798374,1,0,1.1,0.0,0,0.0,1.0,0.0,0.21594622305095496
86,0.9485614508356601,0.21209922079740165,1,0,1.1,0.0,0,0.0,1.0,0.41298962255338445,0.19795288638371966
87,0.8994424355968993,0.08708015137005529,1,0,1.1,0.0,0,0.0,1.0,0.0,0.169400191580658
88,0.8454735615223725,0.09282111360008388,1,0,1.1,0.0,0,0.0,1.0,0.0,0.13541106326226413
89,0.7220633724059992,0.21864098764866272,1,0,1.1,0.0,0,0.0,1.0,0.0,0.13695811178565825
90,1.1280271989427477,0.22646093694736372,1,0,1.1,0.0,0,0.0,1.0,2.0105894157895388,0.23858290864452864
91,1.1587219650193945,-0.007466074809712703,1,0,1.1,0.0,0,0.0,1.0,0.3660535091699735,0.24635583133670652
92,1.2222043265094737,0.2514483077946712,1,0,1.1,0.0,0,0.0,1.0,3.589549087732097,0.4069563277020328
93,1.0374075248708226,0.06320098502951904,1,0,1.1,0.0,0,0.0,1.0,0.16195315622987394,0.39995212489880927
94,1.119988303632533,0.23979738308910678,1,0,1.1,0.0,0,0.0,1.0,2.071131845916191,0.5099527016088177
95,1.0522393756320394,0.28447944828028915,1,0,1.1,0.0,0,0.0,1.0,1.8140730620304264,0.5958915039957616
96,0.8611700960094048,-0.03729635074227536,1,0,1.1,0.0,0,0.0,1.0,0.0,0.49335281171767875
97,0.9872015268526546,0.1289328986162037,1,0,1.1,0.0,0,0.0,1.0,0.21579527646370894,0.4931778163503766
98,0.9730272436881473,-0.05612259918217535,1,0,1.1,0.0,0,0.0,1.0,0.0,0.31804007108343674
99,1.079607523741449,0.1223199032284207,1,0,1.1,0.0,0,0.0,1.0,0.6523949722027541,0.34688297516531785
100,1.18371192032508,0.017880048045013502,1,0,1.1,0.0,0,0.0,1.0,0.6502291473812606,0.27536239682391017
101,1.0720072554700675,-0.05941770439881005,1,0,1.1,0.0,0,0.0,1.0,0.0025359487388128044,0.18446570289730596
102,1.1492027666052358,-0.0314899650036224,1,0,1.1,0.0,0,0.0,1.0,0.22170085857441257,0.198888617440855
103,1.3625509210490163,0.18894332588409515,1,0,1.1,0.0,0,0.0,1.0,4.866334470405115,0.43256895441721605
104,1.037314419514169,0.10265067909226092,1,0,1.1,0.0,0,0.0,1.0,0.3134436612465229,0.425487769867964
105,1.1335498896662006,0.016414460336619335,1,0,1.1,0.0,0,0.0,1.0,0.359828900348293,0.4174074756557907
106,1.0409327324335227,-0.07484836872258627,1,0,1.1,0.0,0,0.0,1.0,0.0,0.38952529674664915
107,1.2265962146288012,0.21071171837163574,1,0,1.1,0.0,0,0.0,1.0,3.0598116522418355,0.5476616506719432
108,1.0518029525184778,-0.0614200346612174,1,0,1.1,0.0,0,0.0,1.0,0.0,0.5247598663933213
109,0.6637866227772177,-0.05079187424817642,1,0,1.1,0.0,0,0.0,1.0,0.0,0.2883925666631735
110,1.0614959086232405,0.13059242066168655,1,0,1.1,0.0,0,0.0,1.0,0.5903668199595935,0.3074042995095972
111,1.2116666549031772,0.040122727498335925,1,0,1.1,0.0,0,0.0,1.0,1.0143662894421668,0.3406831448794389
112,1.1178540637614343,0.14290202446498768,1,0,1.1,0.0,0,0.0,1.0,1.0878998007543286,0.39320398760876674
113,1.042830260310544,0.14605793368223563,1,0,1.1,0.0,0,0.0,1.0,0.5708599972776628,0.26708125067798727
114,1.2048463764974051,0.026425491594629424,1,0,1.1,0.0,0,0.0,1.0,0.8557868315324704,0.3114047441222978
115,0.7793817367884104,0.0850679380480169,1,0,1.1,0.0,0,0.0,1.0,0.0,0.310985231372052
116,1.2374672696408,0.25136128103566246,1,0,1.1,0.0,0,0.0,1.0,3.8232536313032135,0.47691543092685224
117,1.0618780778682837,0.24452030808109573,1,0,1.1,0.0,0,0.0,1.0,1.5020795345981588,0.4848451524186013
118,1.0588422178072723,0.26949280873411163,1,0,1.1,0.0,0,0.0,1.0,1.7248622344628992,0.5168646685166325
119,0.8834283826882305,0.27882544939761056,1,0,1.1,0.0,0,0.0,1.0,0.4212208964246451,0.5084711056193786
